Image_number,Hue,Sat,Val,SSIM,Kernel_width
1,5,8,5,0.505,7
2,5,8,6,0.476,7
3,5,6,6,0.529,7
4,5,8,4,0.431,8
5,5,8,3,0.508,8
6,5,8,6,0.468,7
7,5,7,6,0.611,7
8,5,8,3,0.512,7
9,5,8,6,0.47,7
10,5,6,5,0.461,7
11,5,4,4,0.484,8
12,5,6,4,0.513,7
13,5,7,4,0.493,8
14,5,6,6,0.326,8
15,5,8,6,0.444,5
16,5,8,6,0.406,8
17,5,8,4,0.487,5
18,5,7,8,0.421,7
19,3,6,2,0.452,8
20,5,8,6,0.455,8
21,5,8,7,0.496,8
22,5,5,4,0.391,7
23,5,6,4,0.366,7
24,5,7,4,0.514,8
25,3,7,4,0.427,7
26,5,8,4,0.371,7
27,5,8,7,0.46,7
28,5,8,7,0.467,8
29,5,7,8,0.494,5
30,5,8,7,0.558,7
31,5,5,6,0.467,5
32,5,8,7,0.472,5
33,5,8,7,0.386,7
34,5,8,7,0.434,7
35,5,8,7,0.433,7
36,5,8,4,0.417,6
37,5,7,7,0.407,7
38,5,6,6,0.405,7
39,5,8,4,0.42,5
40,5,8,6,0.402,7
41,5,8,4,0.513,5
42,5,8,3,0.458,5
43,4,8,2,0.578,7
44,5,7,2,0.485,7
45,4,8,4,0.509,7
46,5,8,7,0.622,7
47,4,8,7,0.457,5
48,5,8,5,0.486,7
49,4,7,5,0.532,5
50,4,8,6,0.545,5
51,5,7,6,0.455,7
52,5,5,6,0.528,7
53,5,8,6,0.566,7
54,5,7,7,0.551,5
55,5,8,7,0.563,5
56,5,5,6,0.509,5
57,5,8,5,0.446,7
58,4,7,8,0.458,5
59,5,8,5,0.496,8
60,4,8,5,0.406,5
61,5,8,8,0.5,5
62,5,8,6,0.498,7
63,5,8,5,0.418,8
64,5,6,3,0.414,7
65,4,7,1,0.511,8
66,5,8,2,0.459,5
67,5,5,7,0.463,5
68,5,8,7,0.372,5
69,4,9,5,0.461,5
70,5,8,5,0.471,7
71,5,8,5,0.516,7
72,4,7,5,0.4,5
73,4,8,5,0.394,7
74,5,8,5,0.494,7
75,5,8,5,0.403,7
76,5,7,4,0.43,5
77,6,4,4,0.392,7
78,5,6,5,0.434,7
79,5,8,5,0.5,5
80,5,7,5,0.461,5
81,5,7,6,0.467,7
82,5,8,5,0.419,5
83,5,8,6,0.362,5
84,5,7,5,0.373,6
85,5,8,5,0.508,5
86,5,8,5,0.423,7
87,5,6,5,0.575,5
88,5,7,6,0.403,7
89,5,8,5,0.422,5
90,4,7,4,0.433,7
91,5,7,6,0.431,8
92,4,5,4,0.483,7
93,4,7,5,0.486,7
94,5,7,8,0.541,5
95,4,4,5,0.53,7
96,5,7,5,0.58,8
97,5,8,6,0.476,7
98,5,7,6,0.359,7
99,5,8,5,0.513,5
100,4,6,5,0.529,7
101,4,4,5,0.558,7
102,5,7,6,0.517,5
103,5,7,5,0.472,7
104,4,6,4,0.477,7
105,5,8,5,0.505,5
106,5,8,3,0.441,5
107,4,6,3,0.488,7
108,5,8,5,0.5,8
109,5,8,4,0.517,5
110,5,8,5,0.552,7
111,5,8,7,0.522,8
112,5,8,6,0.51,7
113,5,8,6,0.448,7
114,5,7,6,0.43,5
115,5,8,7,0.432,5
116,5,5,6,0.572,8
117,5,8,4,0.44,5
118,5,8,2,0.433,7
119,5,8,3,0.54,8
120,5,8,4,0.404,5
121,5,6,3,0.486,5
122,5,8,4,0.473,5
123,5,8,6,0.579,7
124,5,8,5,0.45,7
125,4,7,6,0.5,7
126,5,7,4,0.53,7
127,5,5,4,0.459,5
128,5,8,5,0.463,5
129,5,8,6,0.573,5
130,5,8,3,0.491,5
131,5,7,5,0.411,7
132,5,6,4,0.465,7
133,5,8,4,0.529,8
134,5,7,7,0.475,7
135,5,8,6,0.574,7
136,5,8,4,0.504,5
137,4,4,2,0.453,7
138,5,3,2,0.501,5
139,5,8,3,0.52,5
140,5,8,3,0.465,7
141,5,7,3,0.49,7
142,5,7,3,0.473,7
143,3,7,3,0.531,7
144,4,9,2,0.453,7
145,4,8,1,0.581,5
146,5,8,6,0.331,8
147,4,9,6,0.496,5
148,5,8,5,0.494,7
149,5,8,2,0.504,7
150,5,7,2,0.472,7
151,4,8,6,0.507,7
152,5,8,7,0.414,7
153,5,6,5,0.501,7
154,5,4,6,0.563,8
155,5,7,6,0.568,5
156,5,7,6,0.478,7
157,5,3,5,0.517,7
158,5,8,8,0.441,7
159,5,6,5,0.527,7
160,5,4,5,0.439,7
161,5,7,6,0.543,7
162,5,8,6,0.438,7
163,5,5,5,0.484,7
164,5,8,6,0.482,5
165,5,8,5,0.483,5
166,5,8,6,0.43,7
167,5,7,7,0.409,8
168,5,8,6,0.59,7
169,4,8,6,0.568,7
170,5,6,5,0.531,7
171,5,8,4,0.512,7
172,6,4,4,0.619,7
173,5,8,5,0.498,8
174,5,8,6,0.499,5
175,5,5,5,0.494,7
176,5,8,5,0.501,7
177,5,8,5,0.42,7
178,5,8,5,0.537,7
179,5,8,5,0.567,7
180,5,7,6,0.392,5
181,5,8,7,0.512,7
182,5,8,5,0.46,7
183,5,7,6,0.445,5
