image_name,hueval,satval,valval,kernel_size,SSI_kernel,Win_best,SSI_max 
noise1.png,5,4,4,4,0.453,5,0.487
noise2.png,5,6,4,5,0.426,5,0.426
noise3.png,5,8,6,5,0.45,5,0.45
noise4.png,5,5,5,5,0.402,5,0.402
noise5.png,5,5,7,6,0.355,5,0.368
noise6.png,5,7,4,6,0.402,5,0.411
noise7.png,5,8,4,7,0.352,5,0.361
noise8.png,5,8,5,4,0.472,3,0.5
noise9.png,5,8,5,5,0.457,5,0.457
noise10.png,5,8,4,4,0.465,5,0.495
noise11.png,5,8,4,5,0.497,5,0.497
noise12.png,5,8,5,6,0.443,5,0.468
noise13.png,5,6,4,5,0.527,5,0.527
noise14.png,5,3,3,7,0.39,5,0.446
noise15.png,5,8,5,8,0.342,5,0.448
noise16.png,5,8,5,7,0.403,5,0.489
noise17.png,5,3,4,6,0.43,5,0.467
noise18.png,5,7,5,5,0.542,5,0.542
noise19.png,5,7,4,5,0.497,5,0.497
noise20.png,5,8,4,5,0.458,5,0.458
noise21.png,5,6,3,6,0.416,5,0.448
noise22.png,5,7,4,6,0.416,5,0.427
noise23.png,5,7,4,6,0.462,5,0.498
noise24.png,5,8,6,5,0.482,5,0.482
noise25.png,5,8,5,4,0.406,5,0.442
noise26.png,5,8,5,5,0.479,5,0.479
noise27.png,5,8,6,5,0.446,5,0.446
noise28.png,5,8,5,5,0.416,5,0.416
noise29.png,5,8,5,6,0.399,5,0.411
noise30.png,5,7,5,6,0.42,5,0.46
noise31.png,5,3,4,6,0.443,5,0.467
noise32.png,5,7,5,7,0.348,5,0.358
noise33.png,5,7,4,6,0.457,5,0.501
noise34.png,5,7,5,6,0.427,5,0.461
noise35.png,5,5,4,5,0.519,5,0.519
noise36.png,5,3,3,6,0.413,5,0.446
noise37.png,5,8,5,6,0.452,5,0.502
noise38.png,5,3,4,6,0.436,5,0.468
noise39.png,5,5,5,7,0.345,7,0.345
noise40.png,5,7,4,6,0.469,5,0.514
noise41.png,5,8,6,6,0.449,5,0.477
noise42.png,5,8,6,6,0.406,5,0.423
noise43.png,5,8,7,5,0.511,5,0.511
noise44.png,5,6,6,6,0.442,5,0.489
noise45.png,5,8,8,6,0.403,5,0.444
noise46.png,5,8,6,5,0.478,5,0.478
noise47.png,5,8,4,4,0.434,5,0.469
noise48.png,5,8,5,3,0.577,3,0.577
noise49.png,5,2,3,4,0.515,5,0.546
noise50.png,5,8,5,6,0.412,5,0.437
noise51.png,5,8,5,4,0.533,5,0.566
noise52.png,5,7,5,5,0.529,5,0.529
noise53.png,5,8,5,6,0.415,5,0.438
noise54.png,5,7,4,5,0.538,5,0.538
noise55.png,5,8,4,6,0.468,5,0.513
noise56.png,5,8,5,6,0.427,5,0.462
noise57.png,5,8,6,5,0.489,5,0.489
noise58.png,5,6,4,5,0.431,5,0.431
noise59.png,5,4,3,6,0.362,5,0.381
noise60.png,5,8,4,5,0.486,5,0.486
noise61.png,5,2,3,5,0.407,5,0.407
noise62.png,5,7,5,6,0.433,5,0.46
noise63.png,5,7,5,6,0.38,5,0.396
noise64.png,5,5,4,5,0.441,5,0.441
noise65.png,5,8,5,4,0.544,3,0.569
noise66.png,5,7,5,6,0.432,5,0.466
noise67.png,5,8,6,6,0.431,5,0.458
noise68.png,5,7,5,5,0.511,5,0.511
noise69.png,5,8,5,6,0.431,5,0.468
noise70.png,5,6,5,5,0.478,5,0.478
noise71.png,5,6,5,4,0.455,5,0.489
noise72.png,5,8,6,6,0.465,5,0.518
noise73.png,5,6,4,5,0.487,5,0.487
noise74.png,5,8,5,4,0.51,5,0.543
noise75.png,5,5,4,6,0.439,5,0.471
noise76.png,5,8,5,4,0.509,5,0.542
noise77.png,5,8,5,7,0.429,5,0.483
noise78.png,5,8,5,5,0.472,5,0.472
noise79.png,5,8,5,5,0.459,5,0.459
noise80.png,5,6,4,5,0.485,5,0.485
noise81.png,5,8,6,4,0.409,5,0.448
noise82.png,5,8,6,5,0.473,5,0.473
noise83.png,5,6,6,5,0.443,5,0.443
noise84.png,5,8,4,5,0.495,5,0.495
noise85.png,5,7,4,5,0.518,5,0.518
noise86.png,5,6,3,4,0.524,5,0.547
noise87.png,5,5,3,6,0.401,5,0.43
noise88.png,5,8,4,6,0.4,5,0.42
noise89.png,5,8,5,3,0.555,3,0.555
noise90.png,5,5,4,5,0.458,5,0.458
noise91.png,5,5,3,5,0.439,5,0.439
noise92.png,5,7,5,4,0.471,5,0.501
noise93.png,5,8,5,6,0.397,5,0.411
noise94.png,5,8,5,5,0.467,5,0.467
noise95.png,5,7,4,5,0.496,5,0.496
noise96.png,5,6,4,6,0.425,5,0.435
noise97.png,5,8,5,5,0.426,5,0.426
noise98.png,5,8,5,4,0.502,3,0.522
noise99.png,5,8,5,5,0.432,5,0.432
noise100.png,5,6,4,6,0.383,5,0.401
noise101.png,5,6,5,4,0.516,5,0.539
noise102.png,5,8,5,4,0.431,5,0.468
noise103.png,5,6,5,5,0.5,5,0.5
noise104.png,5,7,5,6,0.446,5,0.476
noise105.png,5,8,6,5,0.47,5,0.47
noise106.png,5,8,6,5,0.473,5,0.473
noise107.png,5,8,6,6,0.442,5,0.477
noise108.png,5,7,5,5,0.476,5,0.476
noise109.png,5,8,6,5,0.492,5,0.492
noise110.png,5,7,5,4,0.555,3,0.587
noise111.png,5,8,5,5,0.483,5,0.483
noise112.png,5,8,4,5,0.499,5,0.499
noise113.png,5,8,5,4,0.554,3,0.583
noise114.png,5,7,4,5,0.506,5,0.506
noise115.png,5,8,5,4,0.443,5,0.479
noise116.png,5,6,4,6,0.419,5,0.456
noise117.png,5,7,4,4,0.442,5,0.473
noise118.png,5,8,6,4,0.445,5,0.482
noise119.png,5,8,5,5,0.485,5,0.485
noise120.png,5,4,4,6,0.438,5,0.465
noise121.png,5,8,6,6,0.437,5,0.473
noise122.png,5,8,6,5,0.431,5,0.431
noise123.png,5,7,7,5,0.463,5,0.463
noise124.png,5,8,5,5,0.448,5,0.448
noise125.png,5,8,4,4,0.456,5,0.492
noise126.png,5,4,3,4,0.549,3,0.581
noise127.png,5,8,4,4,0.453,5,0.482
noise128.png,5,7,4,5,0.459,5,0.459
noise129.png,5,8,4,5,0.488,5,0.488
noise130.png,5,8,4,4,0.501,3,0.529
